Node: 7,  Depth: 19,  Max-depth: 35,  Fringe-size: 506
Node: 8,  Depth: 18,  Max-depth: 35,  Fringe-size: 518
Node: 1,  Depth: 19,  Max-depth: 35,  Fringe-size: 529
Node: 9,  Depth: 20,  Max-depth: 35,  Fringe-size: 534
Node: 5,  Depth: 10,  Max-depth: 35,  Fringe-size: 515
Node: 32,  Depth: 6,  Max-depth: 35,  Fringe-size: 524
Node: 28,  Depth: 19,  Max-depth: 35,  Fringe-size: 532
Node: 7,  Depth: 19,  Max-depth: 35,  Fringe-size: 549
Node: 41,  Depth: 10,  Max-depth: 35,  Fringe-size: 567
Node: 16,  Depth: 11,  Max-depth: 35,  Fringe-size: 575
Node: 32,  Depth: 15,  Max-depth: 35,  Fringe-size: 580
Node: 41,  Depth: 18,  Max-depth: 35,  Fringe-size: 559
Node: 48,  Depth: 17,  Max-depth: 35,  Fringe-size: 565
Node: 10,  Depth: 12,  Max-depth: 35,  Fringe-size: 569
Node: 32,  Depth: 11,  Max-depth: 35,  Fringe-size: 573
Node: 34,  Depth: 10,  Max-depth: 35,  Fringe-size: 583
Node: 16,  Depth: 27,  Max-depth: 35,  Fringe-size: 591
Node: 22,  Depth: 28,  Max-depth: 35,  Fringe-size: 529
Node: 3,  Depth: 29,  Max-depth: 35,  Fringe-size: 525
Node: 12,  Depth: 31,  Max-depth: 35,  Fringe-size: 524
Node: 16,  Depth: 16,  Max-depth: 35,  Fringe-size: 514
Node: 13,  Depth: 35,  Max-depth: 35,  Fringe-size: 518
Node: 37,  Depth: 22,  Max-depth: 36,  Fringe-size: 496
Node: 6,  Depth: 20,  Max-depth: 36,  Fringe-size: 507
Node: 37,  Depth: 21,  Max-depth: 36,  Fringe-size: 515
Node: 19,  Depth: 22,  Max-depth: 36,  Fringe-size: 526
Node: 24,  Depth: 11,  Max-depth: 36,  Fringe-size: 527
Node: 11,  Depth: 32,  Max-depth: 36,  Fringe-size: 534
Node: 3,  Depth: 30,  Max-depth: 36,  Fringe-size: 504
Node: 18,  Depth: 18,  Max-depth: 36,  Fringe-size: 489
Node: 29,  Depth: 9,  Max-depth: 36,  Fringe-size: 501
Node: 2,  Depth: 6,  Max-depth: 36,  Fringe-size: 511
Node: 29,  Depth: 7,  Max-depth: 36,  Fringe-size: 519
Node: 5,  Depth: 8,  Max-depth: 36,  Fringe-size: 521
Node: 39,  Depth: 18,  Max-depth: 36,  Fringe-size: 527
Node: 34,  Depth: 11,  Max-depth: 36,  Fringe-size: 525
Node: 8,  Depth: 25,  Max-depth: 36,  Fringe-size: 535
Node: 1,  Depth: 26,  Max-depth: 36,  Fringe-size: 538
Node: 19,  Depth: 23,  Max-depth: 36,  Fringe-size: 537
Node: 8,  Depth: 18,  Max-depth: 36,  Fringe-size: 547
Node: 25,  Depth: 35,  Max-depth: 36,  Fringe-size: 554
Node: 14,  Depth: 36,  Max-depth: 36,  Fringe-size: 503
Node: 3,  Depth: 31,  Max-depth: 37,  Fringe-size: 477
Node: 22,  Depth: 32,  Max-depth: 37,  Fringe-size: 483
Node: 16,  Depth: 33,  Max-depth: 37,  Fringe-size: 485
Node: 41,  Depth: 34,  Max-depth: 37,  Fringe-size: 465
Node: 34,  Depth: 35,  Max-depth: 37,  Fringe-size: 448
Node: 14,  Depth: 36,  Max-depth: 37,  Fringe-size: 436
Node: 8,  Depth: 18,  Max-depth: 37,  Fringe-size: 444
Node: 29,  Depth: 10,  Max-depth: 37,  Fringe-size: 459
Node: 28,  Depth: 18,  Max-depth: 37,  Fringe-size: 463
Node: 18,  Depth: 20,  Max-depth: 37,  Fringe-size: 474
